Location,Tag_ID,Sex,Direction,movement,Presence,month,SST,SST_anomaly,cur_GSLA,anomaly_GSLA,cur_VCUR,anomaly_VCUR,lunar.illumination
Moreton Island,6393,M,North,Arrival,1,8,21.224328994750977,0.32882302734194013,0.01530984429642399,0.08852290719014926,-0.4268445007502829,-0.35363143785655765,0.9149464143174176
Moreton Island,6393,M,North,Arrival,0,11,23.014001846313477,-0.269246641696423,0.05709337357431627,0.16391920605004842,-0.29551828771827704,-0.18869245524254488,0.414528199263701
Moreton Island,6393,M,North,Arrival,0,11,23.9468936920166,0.663645204006702,-0.03752613246440849,0.06929970001132367,-0.23073565950614872,-0.12390982703041656,0.12697234528124657
Flat Rock,6393,M,South,Arrival,1,8,20.405298233032227,-0.6288600661280626,-0.08789464831352234,-0.0153971656520586,-0.5429325699806213,-0.4704350873191576,3.0846407123030772e-6
Flat Rock,6393,M,South,Arrival,0,6,21.4781436920166,-0.7782308294417994,-0.01709062606096267,-0.0035688701678406,-0.09720293432474136,-0.0836811784316193,0.10342592688949703
Flat Rock,6393,M,South,Arrival,0,9,21.905237197875977,0.7173612646781216,0.06592098623514175,0.1449284988037895,-0.10330673307180405,-0.02429922050315632,0.408123067993572
Coffs Harbour,6393,M,South,Arrival,1,12,22.1216983795166,-0.1775566895336702,0.02060030773282051,0.10250542100331404,-0.09125173836946487,-0.00934662509897135,0.6792417135397291
Coffs Harbour,6393,M,South,Arrival,0,2,22.46319007873535,-2.3235674435975113,0.03372346609830856,0.1342213490802296,-0.4380998909473419,-0.3376020079654209,0.5369862294877229
Coffs Harbour,6393,M,South,Arrival,0,1,23.4027042388916,-0.22049301371854924,-0.05371339619159698,0.0572951251230333,-0.00885050278156995,0.10215801853306034,0.5929230008213038
Seal Rocks,6393,M,South,Arrival,1,1,23.128870010375977,1.6722287795122917,0.08728426694869995,0.26478566918685986,-0.3604291081428528,-0.18292770590469284,0.7306835782772637
Seal Rocks,6393,M,South,Arrival,0,6,19.772153854370117,-0.46166139967897735,0.27848565578460693,0.2798952316677179,0.20447713136672976,0.20588670724984073,0.8251915280411899
Seal Rocks,6393,M,South,Arrival,0,8,18.109582901000977,-0.2763603787747577,0.18189309537410736,0.29345307628991024,-0.30915722250938416,-0.19759724159358127,0.6567295988565222
Flat Rock,6393,M,North,Arrival,1,6,22.22446805780584,0.01907460264010652,0.10727419704198836,0.12079595293511042,-0.3955259323120117,-0.3820041764188897,0.8251915280411899
Flat Rock,6393,M,North,Arrival,0,10,21.987909044538224,-0.15331466295368656,-0.03662277013063431,0.06715919756861304,-0.4951703846454621,-0.39138841694621473,0.6268569117907221
Flat Rock,6393,M,North,Arrival,0,8,20.536612510681152,-0.3625449488761347,0.09354066103696825,0.16603814369843198,-0.551325261592865,-0.47882777893140127,0.8202203337876379
Flat Rock,6393,M,South,Arrival,1,7,21.462631225585938,0.17803150568252946,0.11383577436208724,0.16155874053287597,-0.3109883666038513,-0.26326540043306257,0.1101504664348198
Flat Rock,6393,M,South,Arrival,0,6,NA,NA,0.1535104513168335,0.16703220720995557,-0.3555460572242737,-0.34202430133115164,0.6505361550750988
Flat Rock,6393,M,South,Arrival,0,4,24.030397415161133,-1.1402118322325911,0.1063586249947548,0.1440361499598231,0.1533578485250473,0.1910353734901156,0.8290670018628001
Flat Rock,6393,M,South,Arrival,1,8,22.041399522261187,1.1422420627039005,0.09750812500715256,0.17000560766861628,-0.5214166641235352,-0.44891918146207144,0.9859742085164057
Flat Rock,6393,M,South,Arrival,0,12,25.710893977772106,1.0970516934310304,0.08819983899593353,0.1936197775695564,-0.31358247995376587,-0.208162541380143,0.8859445446326286
Flat Rock,6393,M,South,Arrival,0,4,25.40881892613002,0.26402327568802164,0.13962431252002716,0.17730183748509548,-0.14145545661449432,-0.10377793164942602,0.6913311656869345
Flat Rock,6393,M,South,Arrival,1,11,22.317907333374023,-1.1792958616841318,-0.06042757257819176,0.048513300335411,-0.34074434638023376,-0.231803473466631,0.7694633841856969
Flat Rock,6393,M,South,Arrival,0,1,26.57297706604004,0.36131297279806773,-0.15488380193710327,-0.03994808859717128,-0.5340820550918579,-0.4191463417519259,0.9713670029968373
Flat Rock,6393,M,South,Arrival,0,5,22.20773696899414,-1.4917310306004126,0.1326049417257309,0.12649085455258194,-0.05111928284168243,-0.0572333700148314,0.9968946621630553
Seal Rocks,6393,M,South,Arrival,1,12,20.521857579549152,-0.16445146967345536,0.10727419704198836,0.1960427980006965,0.03814871981739998,0.12691732077610807,0.07055173479156518
Seal Rocks,6393,M,South,Arrival,0,7,NA,NA,0.16785436868667605,0.20248147256432045,0.08362199366092682,0.1182490975385712,0.007590104121018737
Seal Rocks,6393,M,South,Arrival,0,9,18.146713852882385,-0.23401432071645445,0.07232996821403503,0.18589551074505603,-0.26627805829048157,-0.15271251575946057,0.04995620968514769
Coffs Harbour,6393,M,North,Arrival,1,5,20.7811222076416,-1.3189632118522354,0.18662352859973907,0.24010691383875404,-0.13565684854984283,-0.08217346331082787,0.0013352209463163844
Coffs Harbour,6393,M,North,Arrival,0,6,NA,NA,0.0897257849574089,0.11449224173486458,-0.3173973560333252,-0.2926308992558695,0.12127694280399809
Coffs Harbour,6393,M,North,Arrival,0,7,NA,NA,0.1530526578426361,0.1961504923928991,-0.07110921293497086,-0.02801137838470781,0.989770767850005
Flat Rock,6393,M,North,Arrival,1,6,NA,NA,0.19684739410877228,0.21036915000189435,-0.2018830180168152,-0.1883612621236931,0.9720727816245399
Flat Rock,6393,M,North,Arrival,0,4,24.509042566472832,-0.635753083969167,0.15213708579540253,0.18981461076047085,-0.3814871907234192,-0.34380966575835087,0.5023494768771338
Flat Rock,6393,M,North,Arrival,0,5,NA,NA,0.1541208177804947,0.14800673060734573,-0.2319442182779312,-0.23805830545108017,0.9861488833885557
Flat Rock,6393,M,North,Arrival,1,8,20.131705024025656,-0.7674524355316308,0.04898295551538467,0.1214804381768484,-0.2064608633518219,-0.13396338069035818,0.8664147746161368
Flat Rock,6393,M,North,Arrival,0,1,25.08654670715332,-0.9155774982389816,0.03738574311137199,0.152321456451304,-0.2581905424594879,-0.14325482911955592,0.5651186818414954
Flat Rock,6393,M,North,Arrival,0,6,21.81471148404208,-0.3906819711236551,0.21836327016353607,0.23188502605665817,-0.2220255434513092,-0.20850378755818713,0.9979883437488004
Flat Rock,6393,M,North,Arrival,1,11,22.867694161155008,-0.4576687030314978,-0.0473044104874134,0.06163646242618936,-0.4817420244216919,-0.3728011515080891,0.44239675424559843
Flat Rock,6393,M,North,Arrival,0,5,NA,NA,0.1640394926071167,0.15792540543396774,-0.2761967182159424,-0.28231080538909137,0.5521922378029325
Flat Rock,6393,M,North,Arrival,0,2,25.98704615506259,-0.24189871604500013,0.12039735913276672,0.20572730756918703,-0.07049883157014847,0.01483111686627185,0.6142245621313787
Moreton Island,6395,F,North,Arrival,1,9,21.5351505279541,0.4892268601159593,-0.05957151308655758,0.02813697199814015,-0.30176400018387656,-0.2140555150991788,0.9883934530162737
Moreton Island,6395,F,North,Arrival,0,11,23.006555557250977,-0.276692930758923,-0.01884241529740454,0.08798341717832761,-0.31188867755232097,-0.2050628450765888,0.03195743214627317
Moreton Island,6395,F,North,Arrival,0,12,24.859888076782227,0.4717568596087638,-0.03779164686799108,0.06865383838377784,-0.3080097039788758,-0.2015642187271069,0.33893067036789426
Flat Rock,6395,F,North,Arrival,1,8,21.052963256835938,0.01880495767564838,0.08652129769325256,0.15901878035471628,-0.4260448813438415,-0.3535473986823778,0.34630585082794496
Flat Rock,6395,F,North,Arrival,0,9,19.81505584716797,-1.3728200860298865,0.147864431142807,0.22687194371145475,0.2327071875333786,0.31171470010202634,0.9785481465419924
Flat Rock,6395,F,North,Arrival,0,10,21.389400482177734,-0.8265099078867024,-0.07278775423765182,0.03099421346159552,-0.21515877544879913,-0.1113768077495518,0.34012580247762403
Coffs Harbour,6395,F,North,Arrival,1,11,20.95407485961914,0.0256469714752292,-0.04043764248490333,0.07650213074644632,-0.5925258994102478,-0.47558612617889817,0.8635045964934155
Coffs Harbour,6395,F,North,Arrival,0,10,19.42979621887207,-0.9001366307007928,-0.08346939831972122,-0.01676321220934711,-0.24628813564777377,-0.17958194953739964,0.34012580247762403
